sku,weight
QCDTAG00004,4
QCDTAG00006,4
QCPDT000041,4
REFDOP00780PDCG1,4
QCDTAG00005,4
QCDTAG00001,4
QCDTAG00002,4
REFDE00337,4
REFDE00262,4
QCDTAG00003,4
REFDE00277,4
REFDE00263,4
REFDE00340,4
REFDE00250,4
REFDE00192,4
REFDE00152,4
REFDE00157,4
REFDE00146,4
REFDE00139,4
REFDE00338,4
REFDE00268,4
REFDE00312,4
REFDE00313,4
REFDE00138,4
REFDE00140,4
REFDE00141,4
REFDE00142,4
REFDE00143,4
REFDE00196,4
REFDE00144,4
REFDE00145,4
REFDE00149,4
REFDE00150,4
REFDE00151,4
REFDE00153,4
REFDE00154,4
REFDE00156,4
REFDE00193,4
REFDE00194,4
REFDE00190,4
REFDE00191,4
REFDE00195,4
REFDE00230,4
REFDE00231,4
REFDE00233,4
REFDE00234,4
REFDE00235,4
REFDE00236,4
QCNBB000006,4
REFDE00265,4
REFDE00258,4
REFDE00264,4
REFDE00267,4
REFDE00232,4
REFDE00290,4
REFDE00292,4
REFDE00293,4
REFDE00298,4
REFDE00299,4
REFDE00282,4
REFDE00320,4
REFDE00339,4
REFDE00344,4
REFDE00331,4
REFDE00147,4
REFDE00148,4
REFDE00155,4
REFDE00237,4
REFDE00246,4
,
